ring	points_in	points_out	area_km2	tolerance_km2	kept_for	west	south	east	north
303	83	7	392	32.63	airport	119.854	11.664	120.067	11.982
304	41	6	308	25.64	airport	123.583	12.343	123.795	12.687
305	21	6	125	10.39	airport	167.419	-22.671	167.531	-22.555
306	59	9	240	20.01	airport	-175.365	-21.268	-175.051	-21.111
307	52	12	151	12.59	airport	166.494	-20.713	166.674	-20.389
308	47	8	547	45.60	airport	169.219	-19.657	169.502	-19.315
309	36	6	209	17.42	airport	-169.950	-19.143	-169.783	-18.965
310	108	10	464	38.68	airport	177.951	-19.155	178.497	-18.925
311	30	8	140	11.69	airport	179.233	-18.119	179.361	-17.945
312	19	7	97	8.12	airport	178.739	-17.747	178.836	-17.629
313	25	7	312	25.96	airport	-180.000	-16.964	-179.821	-16.693
314	67	8	443	36.88	airport	168.120	-16.848	168.481	-16.573
315	34	6	466	38.87	airport	168.120	-15.971	168.268	-15.463
316	22	6	432	36.03	airport	167.682	-15.485	168.002	-15.282
317	40	7	277	23.05	airport	168.091	-15.395	168.192	-14.944
318	22	8	128	10.67	airport	-170.831	-14.375	-170.584	-14.255
319	43	5	298	24.82	airport	167.399	-13.885	167.581	-13.708
320	47	7	516	43.04	airport	165.753	-10.869	166.143	-10.657
321	64	6	350	29.19	airport	134.488	7.361	134.658	7.614
322	66	6	253	21.05	airport	-78.971	8.296	-78.836	8.474
323	49	9	552	45.97	airport	144.626	13.247	144.952	13.654
324	39	7	128	10.70	airport	145.686	15.096	145.801	15.272
325	49	6	522	43.51	airport	50.460	25.790	50.620	26.243
326	34	8	103	8.59	airport	-73.864	45.546	-73.573	45.692
327	69	9	251	20.90	airport	-73.974	45.443	-73.469	45.706
328	19	7	100	8.35	airport	-71.125	46.863	-70.816	47.027
329	88	21	141	11.75	airport	-62.017	47.217	-61.386	47.644
330	28	7	98	8.14	airport	105.585	-10.565	105.715	-10.437
331	67	7	136	11.37	airport	113.839	22.197	114.019	22.311
332	19	7	101	8.43	airport	113.477	22.596	113.636	22.735
333	72	10	218	18.14	airport	175.334	-36.352	175.566	-36.072
334	13	6	38	3.19	airport	134.854	-12.118	134.933	-12.038
335	11	9	26	2.16	airport	122.505	39.255	122.684	39.297
336	33	7	57	4.71	airport	-128.296	52.018	-128.155	52.199
337	9	6	6	0.49	airport	-140.896	-15.838	-140.852	-15.816
338	10	5	3	0.27	airport	171.723	6.079	171.745	6.102
339	20	6	34	2.79	airport	-61.496	12.440	-61.422	12.530
340	23	8	21	1.71	airport	-61.277	12.982	-61.194	13.051
341	9	6	17	1.43	airport	-81.386	13.319	-81.351	13.374
342	16	6	43	3.61	airport	-86.997	16.066	-86.873	16.121
343	10	7	18	1.52	airport	-62.997	17.465	-62.945	17.526
344	11	6	23	1.94	airport	-62.867	17.882	-62.792	17.925
345	19	6	25	2.10	airport	-65.334	18.300	-65.245	18.341
346	10	6	44	3.68	airport	-79.894	19.680	-79.727	19.758
347	9	6	13	1.09	airport	-71.151	21.432	-71.130	21.514
348	24	11	42	3.50	airport	-81.561	21.603	-81.369	21.719
349	27	7	194	16.21	airport	-80.732	28.253	-80.612	28.599
350	20	10	21	1.73	airport	-71.614	41.146	-71.544	41.229
351	33	14	9	0.73	airport	-152.505	57.886	-152.325	57.969
352	24	8	42	3.50	airport	55.677	-4.358	55.777	-4.290
353	16	6	20	1.65	airport	-32.463	-3.881	-32.389	-3.834
354	27	6	126	10.54	airport	8.952	-0.744	9.039	-0.593
355	20	8	36	2.97	airport	-16.398	33.034	-16.275	33.111
356	23	6	33	2.74	airport	23.395	39.132	23.504	39.214
357	12	7	25	2.08	airport	-31.153	39.659	-31.080	39.727
358	19	9	8	0.70	airport	-5.133	48.447	-5.037	48.485
359	10	8	10	0.80	airport	7.133	53.701	7.347	53.729
360	24	12	11	0.91	airport	-6.254	56.031	-6.133	56.125
361	41	25	5	0.41	airport	-2.686	59.073	-2.515	59.162
362	40	18	22	1.84	airport	5.166	59.141	5.317	59.416
363	18	14	1	0.10	airport	-1.651	59.514	-1.582	59.560
364	47	17	22	1.80	airport	5.250	59.759	5.498	59.978
365	53	7	227	18.92	airport	106.752	10.405	106.874	10.666
366	18	7	45	3.76	airport	121.492	22.008	121.589	22.082
367	33	8	183	15.21	airport	90.456	22.712	90.678	22.882
368	13	6	23	1.90	airport	122.939	24.440	123.018	24.474
369	16	6	23	1.92	airport	131.212	25.819	131.277	25.875
370	51	8	85	7.08	airport	126.356	37.421	126.583	37.530
371	16	9	12	0.99	airport	159.044	-31.589	159.106	-31.519
372	26	5	35	2.96	airport	167.918	-29.069	167.996	-28.997
373	11	6	26	2.20	airport	-149.527	-23.400	-149.456	-23.358
374	9	6	36	3.00	airport	-146.392	-16.163	-146.329	-16.100
375	13	5	15	1.28	airport	159.777	-11.324	159.853	-11.284
376	9	6	45	3.72	airport	142.247	-10.641	142.325	-10.573
377	38	8	202	16.81	airport	123.320	-10.337	123.505	-10.158
378	15	10	10	0.86	airport	173.606	0.133	173.641	0.219
379	7	6	11	0.88	airport	-142.640	-17.602	-142.558	-17.533
380	11	6	35	2.89	airport	168.533	-16.938	168.597	-16.877
381	5	5	10	0.84	airport	-145.709	-16.060	-145.614	-16.038
382	18	6	179	14.89	airport	167.072	-15.751	167.234	-15.622
383	10	7	8	0.65	airport	72.173	10.809	72.200	10.878
384	13	6	19	1.60	airport	50.283	29.209	50.335	29.275
385	8	6	6	0.49	airport	-169.676	-14.189	-169.636	-14.169
386	9	8	4	0.31	airport	166.619	19.276	166.652	19.306
387	10	7	6	0.47	airport	127.209	26.577	127.244	26.599
388	16	6	18	1.49	airport	128.396	27.021	128.454	27.066
389	26	8	22	1.83	airport	-123.313	48.732	-123.188	48.817
390	26	8	24	1.97	airport	-123.224	48.762	-123.042	48.833
391	12	7	3	0.27	airport	-2.226	49.703	-2.170	49.731
392	8	7	2	0.14	airport	-6.309	49.910	-6.284	49.935
393	8	8	1	0.11	airport	-18.020	66.533	-17.976	66.564
394	16	7	8	0.63	airport	-61.353	12.694	-61.314	12.734
395	8	5	5	0.39	airport	-71.219	21.311	-71.192	21.341
396	14	8	18	1.50	airport	-71.540	21.489	-71.496	21.563
397	13	7	25	2.05	airport	52.282	24.476	52.339	24.539
398	15	7	30	2.53	airport	125.141	24.804	125.217	24.855
399	16	7	6	0.52	airport	-77.907	25.408	-77.837	25.435
400	26	11	17	1.41	airport	-79.304	25.694	-79.243	25.775
401	8	6	5	0.41	airport	136.798	34.839	136.826	34.876
402	18	5	13	1.06	airport	12.526	35.489	12.624	35.522
403	9	9	3	0.28	airport	-76.573	64.181	-76.472	64.246
404	14	6	134	11.16	airport	123.523	-5.367	123.634	-5.246
405	26	7	175	14.58	airport	-78.216	2.513	-78.097	2.687
406	43	6	118	9.83	airport	125.925	9.575	126.001	9.755
407	29	8	125	10.46	airport	113.402	22.763	113.603	22.912
408	18	7	17	1.41	airport	-56.240	46.753	-56.145	46.808
409	20	10	19	1.56	airport	173.011	1.337	173.172	1.387
410	15	6	58	4.80	airport	-82.328	9.330	-82.232	9.439
411	17	7	59	4.90	airport	-85.947	16.403	-85.817	16.517
412	23	7	96	7.98	airport	-62.230	16.675	-62.141	16.819
413	26	6	87	7.28	airport	-63.144	18.019	-63.011	18.122
414	24	7	77	6.39	airport	-63.142	18.176	-62.973	18.269
415	26	7	78	6.50	airport	-65.041	18.304	-64.840	18.380
416	33	8	61	5.06	airport	-64.683	18.383	-64.527	18.454
417	18	7	31	2.62	airport	-64.443	18.443	-64.326	18.512
418	35	9	73	6.09	airport	-71.346	41.455	-71.221	41.661
419	27	12	43	3.60	airport	-122.938	48.417	-122.808	48.566
420	26	10	47	3.90	airport	-123.698	48.862	-123.327	49.109
421	21	6	89	7.39	airport	-14.418	-7.975	-14.295	-7.878
422	17	6	50	4.15	airport	14.184	36.015	14.334	36.076
423	29	8	61	5.12	airport	25.362	36.336	25.480	36.470
424	22	7	63	5.27	airport	11.922	36.741	12.052	36.836
425	59	8	84	7.02	airport	26.886	36.926	27.041	37.076
426	38	8	61	5.05	airport	24.861	37.364	24.966	37.510
427	26	6	31	2.57	airport	-2.669	49.431	-2.502	49.516
428	22	10	10	0.81	airport	6.660	53.570	6.798	53.620
429	22	8	26	2.19	airport	12.520	55.550	12.674	55.701
430	22	11	21	1.71	airport	-6.990	56.444	-6.742	56.548
