ring	points_in	points_out	area_km2	tolerance_km2	kept_for	west	south	east	north
625	297	11	28565	600.00	area	123.469	-10.356	127.313	-8.309
626	207	8	8718	600.00	area	154.756	-6.873	155.917	-5.541
627	38	7	603	50.21	airport	154.536	-5.459	154.726	-5.013
628	708	19	35902	600.00	area	148.386	-6.299	152.412	-4.177
629	302	14	17436	600.00	area	127.842	-3.865	130.873	-2.785
630	470	18	18333	600.00	area	127.406	-0.909	128.861	2.172
631	200	9	12771	600.00	area	122.395	9.035	123.576	10.996
632	158	8	4454	371.16	area	123.314	9.508	124.075	11.269
633	573	13	11363	600.00	area	117.198	8.335	119.725	11.423
634	248	8	11429	600.00	area	121.950	10.433	123.175	11.934
635	331	8	23502	600.00	area	-66.701	-80.960	-59.819	-79.769
636	233	11	10780	600.00	area	-102.292	-72.584	-95.515	-71.761
637	778	23	38581	600.00	area	-75.356	-72.674	-68.299	-68.787
638	682	9	15418	600.00	area	163.992	-22.396	167.029	-20.083
639	157	8	3953	329.44	area	166.523	-15.656	167.233	-14.635
640	207	7	3660	305.01	area	158.452	-8.542	159.842	-7.532
641	518	9	6149	512.45	area	-61.541	45.566	-59.811	47.034
642	450	13	3294	274.51	area	-64.417	45.972	-61.977	47.067
643	142	9	3928	327.35	area	-64.425	49.068	-61.707	49.950
644	135	6	20871	600.00	area	-164.327	-79.855	-159.070	-78.706
645	75	6	5051	420.91	area	166.166	-77.696	169.144	-77.161
646	137	6	6261	521.73	area	-123.066	-74.348	-120.376	-73.675
647	199	6	6379	531.57	area	-127.303	-74.263	-124.007	-73.318
648	17	6	53	4.38	airport	123.933	10.254	124.044	10.324
649	17	9	29	2.38	airport	50.602	26.203	50.684	26.287
650	11	6	15	1.27	airport	162.451	-10.852	162.490	-10.807
651	13	6	6	0.51	airport	142.163	-9.975	142.199	-9.944
652	9	7	5	0.40	airport	143.755	-9.602	143.783	-9.573
653	12	6	12	1.02	airport	143.185	-9.103	143.231	-9.070
654	23	8	11	0.94	airport	110.455	-5.837	110.492	-5.778
655	22	6	21	1.72	airport	100.543	4.198	100.581	4.269
656	6	6	2	0.16	airport	165.991	10.162	166.006	10.183
657	15	9	4	0.33	airport	-88.039	17.728	-88.024	17.779
658	16	8	9	0.73	airport	119.914	26.139	119.964	26.169
659	25	9	7	0.61	airport	119.965	26.192	120.014	26.233
660	20	7	8	0.65	airport	29.559	36.121	29.603	36.167
661	10	7	2	0.14	airport	15.478	42.101	15.497	42.125
662	20	8	5	0.43	airport	-122.839	48.482	-122.789	48.525
663	21	11	4	0.30	airport	-123.236	48.660	-123.172	48.691
664	14	7	6	0.52	airport	-123.066	48.677	-123.008	48.722
665	30	8	13	1.07	airport	-123.338	48.814	-123.232	48.872
666	28	23	1	0.09	airport	6.016	62.530	6.135	62.591
667	44	12	2	0.21	airport	12.077	67.497	12.164	67.534
668	473	11	14925	600.00	area	132.381	32.815	134.751	34.386
669	404	7	7624	600.00	area	-99.591	68.448	-95.210	69.896
670	87	10	941	78.39	airport	-78.998	26.498	-77.972	26.739
671	151	12	1166	97.13	airport	-77.511	25.916	-77.015	26.870
672	129	6	5079	423.28	area	-106.600	72.853	-104.501	73.757
673	291	6	10278	600.00	area	-96.469	74.654	-93.499	75.604
674	125	5	4695	391.28	area	-95.988	77.464	-93.208	77.811
675	137	5	6606	550.48	area	-113.214	78.308	-109.424	78.766
676	168	8	10741	600.00	area	118.942	-10.310	120.827	-9.288
677	216	20	365	30.46	airport	-167.436	59.762	-165.555	60.431
678	294	25	485	40.45	airport	-171.853	62.966	-168.715	63.791
679	96	5	6665	555.40	area	59.242	80.405	62.068	80.880
680	192	6	3033	252.73	area	161.396	-10.814	162.272	-10.204
681	179	8	3836	319.64	area	160.594	-9.509	161.381	-8.310
682	205	8	3923	326.88	area	134.288	-6.370	134.772	-5.448
683	101	7	8651	600.00	area	125.992	-3.859	127.269	-3.074
684	338	8	6960	579.98	area	150.893	-4.848	153.137	-2.675
685	232	7	9680	600.00	area	120.357	12.214	121.549	13.518
686	108	5	15897	600.00	area	-71.816	-79.697	-66.606	-78.364
687	160	8	2029	169.06	airport	167.147	-16.587	167.844	-15.891
688	138	6	2860	238.35	airport	156.461	-7.414	157.442	-6.603
689	66	5	5540	461.66	area	62.530	80.683	65.446	81.137
690	387	6	5515	459.60	area	178.572	-16.999	179.851	-16.291
691	641	17	7343	600.00	area	-87.175	63.123	-80.193	65.924
692	18	7	47	3.88	airport	-64.038	67.507	-63.789	67.655
693	502	11	27779	600.00	area	-95.725	71.966	-90.196	74.173
694	693	10	28933	600.00	area	-122.832	75.859	-115.893	77.562
695	406	8	27083	600.00	area	-105.408	77.864	-99.017	79.363
696	309	12	3287	273.92	area	68.791	-49.710	70.522	-48.658
697	48	9	124	10.31	airport	-53.122	68.571	-52.128	68.708
698	53	8	161	13.45	airport	22.374	70.249	23.001	70.386
699	54	5	241	20.07	airport	-55.638	72.149	-55.013	72.382
700	96	8	5403	450.27	area	114.452	-8.820	115.714	-8.060
701	97	6	2032	169.32	airport	116.013	-4.067	116.306	-3.219
702	37	7	1392	116.04	airport	101.394	1.709	101.776	2.109
703	121	6	9934	600.00	area	-156.060	19.029	-154.817	20.263
704	363	5	26786	600.00	area	99.268	78.042	105.175	79.371
705	80	7	11595	600.00	area	137.638	-8.426	139.076	-7.374
706	181	9	4372	364.36	area	122.567	-5.676	123.213	-4.475
707	68	6	1638	136.48	airport	130.649	-1.349	131.076	-0.890
708	526	15	2691	224.24	airport	-59.714	-52.310	-57.734	-51.279
709	319	7	10405	600.00	area	177.336	-18.248	178.664	-17.301
710	18	9	68	5.65	airport	-81.897	69.344	-81.486	69.434

#displacement	median 2.14 km	p75 6.8 km	over 2097 coastal airports

#stranded	iata	name	km_to_nearest_kept_land
#stranded	DIO	Diomede Heliport	no land within half a degree
#stranded	HPA	Lifuka Island Airport	no land within half a degree
#stranded	NTT	Kuini Lavenia Airport	no land within half a degree
#stranded	WLS	Hihifo Airport	no land within half a degree
#stranded	MFJ	Moala Airport	7998.30
#stranded	FTA	Futuna Airport	7272.61
#stranded	FUN	Funafuti International Airport	7019.62
#stranded	AIT	Aitutaki Airport	6966.00
#stranded	AIU	Enua Airport	6908.05
#stranded	MOI	Mitiaro Island Airport	6870.46
#stranded	MUK	Mauke Airport	6861.90
#stranded	RMT	Rimatara Airport	6690.33
#stranded	RUR	Rurutu Airport	6580.39
#stranded	MHX	Manihiki Island Airport	6571.67
#stranded	RVV	Raivavae Airport	6442.68
#stranded	MAU	Maupiti Airport	6259.89
#stranded	MVT	Mataiva Airport	5898.58
#stranded	TIH	Tikehau Airport	5881.68
#stranded	AAA	Anaa Airport	5839.83
#stranded	RGI	Rangiroa Airport	5829.59
#stranded	APK	Apataki Airport	5780.00
#stranded	AXR	Arutua Airport	5772.57
#stranded	AHE	Ahe Airport	5690.25
#stranded	XMH	Manihi Airport	5676.97
#stranded	MKP	Makemo Airport	5657.74
#stranded	TKP	Takapoto Airport	5635.32
#stranded	TKX	Takaroa Airport	5601.51
#stranded	GMR	Totegegie Airport	5594.90
#stranded	HOI	Hao Airport	5594.46
#stranded	BBG	Butaritari Airport	5579.78
#stranded	RRR	Raroia Airport	5538.29
#stranded	TKV	Tatakoto Airport	5384.19
#stranded	FHZ	Fakahina Airport	5381.46
#stranded	NAU	Napuka Island Airport	5314.84
#stranded	PKP	Puka Puka Airport	5200.64
#stranded	KIO	Kili Airport	5187.80
#stranded	UIT	Jaluit Airport	5174.74
#stranded	MAJ	Marshall Islands International Airport	5105.06
#stranded	AUL	Aur Island Airport	4987.06
#stranded	JEJ	Jeh Airport	4976.88
#stranded	MJE	Majkin Airport	4889.60
#stranded	KWA	Bucholz Army Air Field	4817.22
#stranded	WTE	Wotje Airport	4815.24
#stranded	LIK	Likiep Airport	4745.68
#stranded	UJE	Ujae Atoll Airport	4744.71
#stranded	UTK	Utirik Airport	4614.12
#stranded	ENT	Eniwetok Airport	4415.21
#stranded	TKK	Chuuk International Airport	3952.95
#stranded	YAP	Yap International Airport	2691.54
#stranded	CCK	Cocos (Keeling) Islands Airport	1676.38
#stranded	GAN	Gan International Airport	1084.18
#stranded	FMT	Faresmaathoda Airport	995.21
#stranded	KDM	Kaadedhdhoo Airport	977.61
#stranded	RUL	Maavaarulaa Airport	964.41
#stranded	GKK	Kooddoo Airport	930.21
#stranded	KDO	Kadhdhoo Airport	816.75
#stranded	TMF	Thimarafushi Airport	803.85
#stranded	VAM	Villa International Airport Maamigili	712.11
#stranded	DRV	Dharavandhoo Airport	556.60
#stranded	NMF	Maafaru International Airport	480.57
#stranded	FND	Funadhoo Airport	471.24
#stranded	HDK	Kulhudhuffushi Airport	459.82
#stranded	HRF	Hoarafushi Airport	457.03
#stranded	HAQ	Hanimaadhoo International Airport	443.80
#stranded	NBN	Annobón Airport	353.68
#stranded	ADZ	Gustavo Rojas Pinilla International Airport	205.50
#stranded	LRV	Los Roques Airport	147.64
#stranded	EYW	Key West International Airport	92.47
#stranded	CNC	Coconut Island Airport	91.62
#stranded	VRY	Værøy Heliport	79.54
#stranded	KKR	Kaukura Airport	72.56
#stranded	UAH	Ua Huka Airport	68.88
#stranded	ICI	Cicia Airport	62.62
#stranded	RNI	Corn Island Airport	61.48
#stranded	KHZ	Kauehi Airport	60.09
#stranded	XMY	Yam Island Airport	57.47
#stranded	SYU	Warraber Island Airport	53.11
#stranded	HGL	Helgoland-Düne Airport	51.29
#stranded	MYI	Murray Island Airport	46.54
#stranded	BOB	Bora Bora Airport	44.74
#stranded	JAF	Jaffna International Airport	43.73
#stranded	OKR	Yorke Island Airport	42.65
#stranded	HUH	Huahine-Fare Airport	40.06
#stranded	OKE	Okinoerabu Airport	37.53
#stranded	MNY	Mono Airport	37.40
#stranded	MNF	Mana Island Airport	37.38
#stranded	TRA	Tarama Airport	37.25
#stranded	TGJ	Tiga Airport	30.70
#stranded	KKX	Kikai Airport	30.68
#stranded	SAB	Juancho E. Yrausquin Airport	27.14
#stranded	EJT	Enejit Airport	26.85
#stranded	OCS	Corisco International Airport	26.81
#stranded	FOA	Foula Airfield	24.94
#stranded	PTF	Malolo Lailai Island Airport	24.11
#stranded	QJE	Kitsissuarsuit Heliport	23.55
#stranded	FTI	Fitiuta Airport	23.27
#stranded	JFR	Paamiut Airport	22.01
#stranded	OTZ	Ralph Wien Memorial Airport	20.98
#stranded	PSD	Port Said International Airport	20.53
#stranded	SVR	Savissivik Heliport	20.10
#stranded	OTD	Raul Arias Espinoza Airport	20.10
#stranded	LEQ	Land's End Airport	19.45
#stranded	RKD	Knox County Regional Airport	18.83
#stranded	IOR	Inishmore Aerodrome	18.77
#stranded	KGE	Kaghau Airport	18.33
#stranded	QOQ	Saarloq Heliport	18.19
#stranded	MTP	Montauk Airport	17.84
#stranded	QPW	Kangaatsiaq Heliport	17.66
#stranded	TFI	Tufi Airport	17.49
#stranded	WBB	Stebbins Airport	17.38
#stranded	IIA	Inishmaan Aerodrome	16.52
#stranded	GOH	Nuuk International Airport	16.21
#stranded	IUI	Innarsuit Heliport	15.85
#stranded	SLZ	Marechal Cunha Machado International Airport	15.71
#stranded	HIS	Hayman Island Resort Seaplane Base	14.84
#stranded	QJH	Qassimiut Heliport	14.54
#stranded	BEL	Val de Cans/Júlio Cezar Ribeiro International Airport	14.49
#stranded	YXN	Whale Cove Airport	14.35
#stranded	KVG	Kavieng Airport	14.22
#stranded	GZO	Nusatupe Airport	14.11
#stranded	YDP	Nain Airport	13.82
#stranded	SNC	General Ulpiano Paez International Airport	13.68
#stranded	AKY	Sittwe Airport	13.04
#stranded	ZUH	Zhuhai Jinwan Airport	12.97
#stranded	GST	Gustavus Airport	12.91
#stranded	TQA	Tasiusaq Heliport	12.71
#stranded	LAU	Manda Airport	12.57
#stranded	MQS	Mustique Airport	12.43
#stranded	TKS	Tokushima Awaodori Airport / JMSDF Tokushima Air Base	12.29
#stranded	RVK	Rørvik Airport, Ryum	11.90
#stranded	INQ	Inisheer Aerodrome	11.86
#stranded	SVU	Savusavu Airport	11.86
#stranded	RUS	Marau Airport	11.83
#stranded	CKY	Ahmed Sékou Touré International Airport	11.83
#stranded	JNN	Nanortalik Heliport	11.81
#stranded	FKQ	Fakfak Airport	11.76
#stranded	DSD	La Désirade Airport	11.70
#stranded	KYP	Kyaukpyu Airport	11.69
#stranded	NCA	North Caicos Airport	11.60
#stranded	JHS	Sisimiut Airport	11.33
#stranded	QGQ	Attu Heliport	11.02
#stranded	SUG	Surigao Airport	10.81
#stranded	KGQ	Kangersuatsiaq Heliport	10.80
#stranded	UMD	Uummannaq Heliport	10.64
#stranded	SMK	St Michael Airport	10.54
#stranded	KTD	Kitadaito Airport	10.53
#stranded	PHO	Point Hope Airport	10.36
#stranded	KUV	Gunsan Airport / Gunsan Air Base	10.34
#stranded	RXS	Roxas Airport	10.30
#stranded	ELV	Elfin Cove Seaplane Base	10.28
#stranded	BNN	Brønnøysund Airport, Brønnøy	9.98
#stranded	FCN	Sea-Airport Cuxhaven/Nordholz / Nordholz Naval Airbase	9.90
#stranded	QRY	Ikerassaarsuk Heliport	9.72
#stranded	YUX	Hall Beach Airport	9.71
#stranded	KTG	Rahadi Osman Airport	9.54
#stranded	YWH	Victoria Harbour Seaplane Base	9.49
#stranded	TCO	La Florida Airport	9.39
#stranded	TWT	Sanga Sanga Airport	9.35
#stranded	KEF	Keflavik International Airport	9.26
#stranded	JJU	Qaqortoq Airport	9.18
#stranded	VIL	Dakhla Airport	9.16
#stranded	PBJ	Tavie Airport	8.95
#stranded	MFM	Macau International Airport	8.91
#stranded	BHY	Beihai Fucheng Airport	8.90
#stranded	QFG	Eqalugaarsuit Heliport	8.76
#stranded	TZA	Sir Barry Bowen Municipal Airport	8.54
#stranded	JUK	Ukkusissat Heliport	8.49
#stranded	PZE	Penzance Heliport	8.45
#stranded	MLW	Spriggs Payne Airport	8.41
#stranded	KSU	Kristiansund Airport, Kvernberget	8.30
#stranded	GEA	Nouméa Magenta Airport	8.29
#stranded	TTE	Sultan Babullah Airport	8.18
#stranded	JCU	Ceuta Heliport	8.10
#stranded	ZLT	La Tabatière Airport	8.07
#stranded	JQA	Qaarsut Airport	8.03
#stranded	UNI	Union Island International Airport	7.98
#stranded	JSH	Sitia Airport	7.90
#stranded	LLA	Luleå Airport	7.81
#stranded	AOQ	Aappilattoq Heliport	7.65
#stranded	GIC	Boigu Island Airport	7.57
#stranded	NLG	Nelson Lagoon Airport	7.53
#stranded	CHY	Choiseul Bay Airport	7.51
#stranded	KCG	Chignik Airport	7.50
#stranded	GIB	Gibraltar Airport	7.48
#stranded	LKA	Larantuka Gewayentana Airport	7.44
#stranded	OTS	Anacortes Airport	7.36
#stranded	PPS	Puerto Princesa International Airport / PAF Antonio Bautista Air Base	7.30
#stranded	DZA	Dzaoudzi Pamandzi International Airport	7.27
#stranded	JAV	Ilulissat Airport	7.22
#stranded	LRH	La Rochelle Île de Ré Airport	7.15
#stranded	YBC	Baie-Comeau Airport	7.10
#stranded	AGE	Wangerooge Airport	7.02
#stranded	XIQ	Ilimanaq Heliport	6.92
#stranded	SUB	Juanda International Airport	6.81
#stranded	JSU	Maniitsoq Airport	6.59
#stranded	PMO	Falcone–Borsellino Airport	6.59
#stranded	HYG	Hydaburg Seaplane Base	6.58
#stranded	DLM	Dalaman International Airport	6.56
#stranded	BAS	Ballalae Airport	6.51
#stranded	FRE	Fera/Maringe Airport	6.50
#stranded	BGO	Bergen Airport, Flesland	6.48
#stranded	NRR	José Aponte de la Torre Airport	6.44
#stranded	ASJ	Amami Airport	6.39
#stranded	DSI	Destin Executive Airport	6.35
#stranded	OIT	Oita Airport	6.33
#stranded	YQQ	Comox Valley International Airport / CFB Comox	6.23
#stranded	HDF	Heringsdorf Airport	6.20
#stranded	SBR	Saibai Island Airport	6.06
#stranded	YEK	Arviat Airport	6.01
#stranded	JUI	Juist Airport	5.86
#stranded	SJI	San Jose Airport	5.81
#stranded	HKN	Hoskins Airport	5.63
#stranded	FTU	Tôlanaro Airport	5.60
#stranded	JUV	Upernavik Airport	5.55
#stranded	GZP	Gazipaşa-Alanya Airport	5.54
#stranded	NRL	North Ronaldsay Airport	5.52
#stranded	EXI	Excursion Inlet Seaplane Base	5.48
#stranded	KIN	Norman Manley International Airport	5.41
#stranded	KUD	Kudat Airport	5.37
#stranded	DPL	Dipolog Airport	5.36
#stranded	YZV	Sept-Îles Airport	5.33
#stranded	DSY	Dara Sakor International Airport	5.30
#stranded	BEY	Beirut Rafic Hariri International Airport	5.29
#stranded	GND	Maurice Bishop International Airport	5.29
#stranded	HBT	Hambantota Seaplane Base	5.21
#stranded	JCH	Qasigiannguit Heliport	5.17
#stranded	HKD	Hakodate Airport	5.12
#stranded	PLJ	Placencia Airport	5.02
#stranded	CWL	Cardiff International Airport	4.93
#stranded	BTI	Barter Island Long Range Radar Station Airport	4.93
#stranded	KIE	Aropa Airport	4.92
#stranded	NOD	Norden-Norddeich Airport	4.91
#stranded	CYC	Caye Chapel Airport	4.89
#stranded	SYF	Silva Bay Seaplane Base	4.76
#stranded	YGG	Ganges Seaplane Base	4.73
#stranded	LBJ	Komodo Airport	4.72
#stranded	PUJ	Punta Cana International Airport	4.63
#stranded	YIO	Pond Inlet Airport	4.60
#stranded	GPS	Seymour Galapagos Ecological Airport	4.56
#stranded	HTI	Hamilton Island Airport	4.52
#stranded	CEC	Jack Mc Namara Field Airport	4.51
#stranded	JEG	Aasiaat Airport	4.49
#stranded	JIB	Djibouti-Ambouli Airport	4.48
#stranded	MAZ	Eugenio Maria De Hostos Airport	4.44
#stranded	QCU	Akunnaaq Heliport	4.38
#stranded	KXB	Sangia Nibandera Airport	4.37
#stranded	LKE	Kenmore Air Harbor Seaplane Base	4.36
#stranded	OEC	Oecusse Route of the Sandalwood International Airport	4.35
#stranded	PNR	Antonio Agostinho-Neto International Airport	4.31
#stranded	NEV	Vance W. Amory International Airport	4.29
#stranded	SIT	Sitka Rocky Gutierrez Airport	4.29
#stranded	VAW	Vardø Airport, Svartnes	4.20
#stranded	LIH	Lihue Airport	4.20
#stranded	YRB	Resolute Bay Airport	4.19
#stranded	TAC	Daniel Z. Romualdez Airport	4.13
#stranded	YGZ	Grise Fiord Airport	4.13
#stranded	ZSE	Saint-Pierre Pierrefonds Airport	4.11
#stranded	CGA	Craig Seaplane Base	4.10
#stranded	BHB	Hancock County-Bar Harbor Airport	4.08
#stranded	SAE	Saattut Heliport	4.00
#stranded	PAE	Seattle Paine Field International Airport	4.00
#stranded	MLN	Melilla Airport	3.93
#stranded	KLW	Klawock Airport	3.84
#stranded	SNW	Thandwe Airport	3.83
#stranded	SOV	Seldovia Airport	3.80
#stranded	BYW	Blakely Island Airport	3.75
#stranded	PWE	Pevek Airport	3.75
#stranded	IWK	Iwakuni Kintaikyo Airport	3.75
#stranded	FRO	Florø Airport	3.72
#stranded	CCS	Maiquetía Simón Bolívar International Airport	3.66
#stranded	RFP	Raiatea Airport	3.64
#stranded	KMA	Kerema Airport	3.62
#stranded	YCY	Clyde River Airport	3.61
#stranded	SSA	Deputado Luiz Eduardo Magalhães International Airport	3.58
#stranded	OKA	Naha International Airport	3.53
#stranded	REG	Reggio Calabria Airport	3.53
#stranded	YSK	Sanikiluaq Airport	3.49
#stranded	KPN	Kipnuk Airport	3.44
#stranded	MHM	Manaoba Airport	3.43
#stranded	SPU	Split Saint Jerome Airport	3.41
#stranded	CSK	Cap Skirring Airport	3.38
#stranded	LKI	Lasikin Airport	3.32
#stranded	YPR	Prince Rupert Airport	3.23
#stranded	KPR	Port Williams Seaplane Base	3.22
#stranded	TMS	São Tomé International Airport	3.20
#stranded	MAG	Madang Airport	3.20
#stranded	IKE	Ikerasak Heliport	3.19
#stranded	PVK	Aktion National Airport	3.19
#stranded	KTN	Ketchikan International Airport	3.17
#stranded	OBY	Ittoqqortoormiit Heliport	3.17
#stranded	KWK	Kwigillingok Airport	3.16
#stranded	KSR	Selayar - Haji Aroeppala Airport	3.12
#stranded	TKE	Tenakee Seaplane Base	3.11
#stranded	QUV	Aappilattoq Heliport	3.09
#stranded	PTU	Platinum Airport	3.01
#stranded	YAZ	Tofino / Long Beach Airport	2.98
#stranded	ESM	Carlos Concha Torres International Airport	2.93
#stranded	ELI	Elim Airport	2.88
#stranded	WAA	Wales Airport	2.88
#stranded	BQN	Rafael Hernández International Airport	2.87
#stranded	MOZ	Moorea Temae Airport	2.79
#stranded	WKJ	Wakkanai Airport	2.78
#stranded	YVR	Vancouver International Airport	2.78
#stranded	SAQ	San Andros Airport	2.74
#stranded	LTK	Latakia International Airport	2.72
#stranded	DBV	Dubrovnik Ruđer Bošković Airport	2.68
#stranded	NAM	Namniwel Airport	2.67
#stranded	EDR	Pormpuraaw Airport	2.62
#stranded	SIG	Fernando Luis Ribas Dominicci Airport	2.62
#stranded	PPW	Papa Westray Airport	2.62
#stranded	AKS	Gwaunaru'u Airport	2.60
#stranded	BJT	Bentota River Waterdrome	2.58
#stranded	HHP	Shun Tak Heliport	2.57
#stranded	HPB	Hooper Bay Airport	2.52
#stranded	LUP	Kalaupapa Airport	2.50
#stranded	MJT	Mytilene International Airport	2.47
#stranded	DOH	Hamad International Airport	2.45
#stranded	UTP	U-Tapao–Rayong–Pattaya International Airport	2.44
#stranded	CGM	Camiguin Airport	2.39
#stranded	MPM	Maputo Airport	2.38
#stranded	SIN	Singapore Changi Airport	2.35
#stranded	SDQ	Las Américas International Airport	2.35
#stranded	LAD	Quatro de Fevereiro International Airport	2.33
#stranded	VNX	Vilankulo Airport	2.33
#stranded	PFO	Paphos International Airport	2.31
#stranded	GOI	Goa Dabolim International Airport	2.31
#stranded	WSZ	Westport Airport	2.30
#stranded	YIG	Big Bay Seaplane Base	2.29
#stranded	OCE	Ocean City Municipal Airport	2.26
#stranded	IOQ	Isortoq Heliport	2.23
#stranded	TBH	Tugdan Airport	2.23
#stranded	TPS	Vincenzo Florio Airport Trapani-Birgi	2.22
#stranded	GIZ	Jizan Regional Airport / King Abdullah bin Abdulaziz Airport	2.20
#stranded	AHO	Alghero-Fertilia Airport	2.18
#stranded	SUI	Vladislav Ardzinba Sukhum International Airport	2.18
#stranded	ARD	Alor Island - Mali Airport	2.16
#stranded	CCP	Carriel Sur International Airport	2.12
#stranded	GBJ	Marie-Galante Airport	2.12
#stranded	CGY	Laguindingan International Airport	2.11
#stranded	YTP	Tofino Harbour Seaplane Base	2.11
#stranded	RIH	Scarlett Martinez International Airport	2.10
#stranded	OLA	Ørland Airport	2.08
#stranded	ORI	Port Lions Airport	2.07
#stranded	AKK	Akhiok Airport	2.02
#stranded	OLH	Old Harbor Airport	2.01
#stranded	WIC	Wick John O'Groats Airport	1.95
#stranded	FLN	Hercílio Luz International Airport	1.95
#stranded	DIL	Presidente Nicolau Lobato International Airport	1.92
#stranded	SDP	Sand Point Airport	1.92
#stranded	TWU	Tawau Airport	1.92
#stranded	HLE	Saint Helena International Airport	1.90
#stranded	NTX	Ranai Airport	1.88
#stranded	URE	Kuressaare Airport	1.88
#stranded	WFB	Ketchikan Harbor Seaplane Base	1.88
#stranded	KEB	Nanwalek Airport	1.86
#stranded	TQI	Tiniteqilaaq Heliport	1.81
#stranded	TOU	Touho Airport	1.77
#stranded	AKV	Akulivik Airport	1.76
#stranded	BMR	Baltrum Airport	1.76
#stranded	MKM	Mukah Airport	1.75
#stranded	VAL	Valença Airport	1.74
#stranded	YWM	Williams Harbour Airport	1.73
#stranded	VAI	Vanimo Airport	1.71
#stranded	HKG	Hong Kong International Airport	1.71
#stranded	MUA	Munda Airport	1.70
#stranded	YBQ	Telegraph Harbour Seaplane Base	1.70
#stranded	ANX	Andøya Airport, Andenes	1.67
#stranded	PPV	Port Protection Seaplane Base	1.66
#stranded	YHK	Gjoa Haven Airport	1.66
#stranded	KKH	Kongiganak Airport	1.66
#stranded	SJU	Luis Munoz Marin International Airport	1.65
#stranded	PNI	Pohnpei International Airport	1.65
#stranded	ZNZ	Abeid Amani Karume International Airport	1.63
#stranded	JHM	Kapalua Airport	1.63
#stranded	LTO	Loreto International Airport	1.63
#stranded	WOS	Wonsan Kalma Airport	1.58
#stranded	MAS	Momote Airport	1.57
#stranded	YCS	Chesterfield Inlet Airport	1.56
#stranded	YIK	Ivujivik Airport	1.56
#stranded	JNS	Narsaq Heliport	1.54
#stranded	KMY	Moser Bay Seaplane Base	1.53
#stranded	TFS	Tenerife Sur Airport	1.48
#stranded	NDB	Nouadhibou International Airport	1.48
#stranded	ZMT	Masset Airport	1.46
#stranded	KPV	Perryville Airport	1.45
#stranded	IQQ	Diego Aracena International Airport	1.44
#stranded	GUZ	Guarapari Airport	1.43
#stranded	MPH	Godofredo P. Ramos Airport	1.42
#stranded	ADE	Aden International Airport	1.41
#stranded	NPL	New Plymouth Airport	1.39
#stranded	NOP	Sinop Airport	1.38
#stranded	DUT	Tom Madsen (Dutch Harbor) Airport	1.36
#stranded	BGK	Big Creek Airport	1.30
#stranded	BBR	Basse-Terre Baillif Airport	1.30
#stranded	TKN	Tokunoshima Airport	1.30
#stranded	SYB	Seal Bay Seaplane Base	1.28
#stranded	KLO	Kalibo International Airport	1.28
#stranded	MIS	Misima Island Airport	1.19
#stranded	KSA	Kosrae International Airport	1.19
#stranded	KLN	Larsen Bay Airport	1.18
#stranded	KEM	Kemi-Tornio Airport	1.17
#stranded	KFP	False Pass Airport	1.17
#stranded	YZT	Port Hardy Airport	1.17
#stranded	TKD	Takoradi Airport	1.15
#stranded	PIZ	Point Lay LRRS Airport	1.14
#stranded	SYD	Sydney Kingsford Smith International Airport	1.12
#stranded	SMS	Sainte Marie Airport	1.11
#stranded	OGU	Ordu–Giresun Airport	1.10
#stranded	YAL	Alert Bay Airport	1.09
#stranded	WNI	Matahora Airport	1.09
#stranded	CJU	Jeju International Airport	1.08
#stranded	SVD	Argyle International Airport	1.06
#stranded	YYQ	Churchill Airport	1.04
#stranded	WLH	Walaha Airport	1.01
#stranded	DIU	Diu Airport	1.01
#stranded	JEE	Jérémie Airport	0.99
#stranded	IOS	Bahia - Jorge Amado Airport	0.98
#stranded	KNG	Utarom Airport	0.96
#stranded	AGP	Málaga-Costa del Sol Airport	0.95
#stranded	SVG	Stavanger Airport, Sola	0.95
#stranded	KVL	Kivalina Airport	0.95
#stranded	CME	Ciudad del Carmen International Airport	0.94
#stranded	JSI	Skiathos Island National Airport	0.90
#stranded	KCT	Koggala Airport	0.89
#stranded	OJU	Tanjung Api Airport	0.88
#stranded	YIA	Yogyakarta International Airport	0.86
#stranded	YZP	Sandspit Airport	0.85
#stranded	LSI	Sumburgh Airport	0.85
#stranded	ACE	César Manrique-Lanzarote Airport	0.85
#stranded	BUZ	Bushehr Airport	0.84
#stranded	BCD	Bacolod-Silay International Airport	0.81
#stranded	RSJ	Rosario Seaplane Base	0.80
#stranded	TRG	Tauranga Airport	0.79
#stranded	APW	Faleolo International Airport	0.79
#stranded	YPW	Powell River Airport	0.79
#stranded	KIX	Kansai International Airport	0.74
#stranded	OOL	Gold Coast Airport	0.69
#stranded	LPA	Gran Canaria Airport	0.68
#stranded	TAB	A.N.R. Robinson International Airport	0.68
#stranded	RTB	Juan Manuel Gálvez International Airport	0.68
#stranded	MTM	Metlakatla Seaplane Base	0.65
#stranded	SPC	La Palma Airport	0.65
#stranded	BVG	Berlevåg Airport	0.64
#stranded	CWS	Center Island Airport	0.63
#stranded	FAO	Faro - Gago Coutinho International Airport	0.63
#stranded	ONX	Enrique Adolfo Jimenez Airport	0.62
#stranded	TRW	Bonriki International Airport	0.62
#stranded	CYP	Calbayog Airport	0.62
#stranded	SKN	Stokmarknes Airport, Skagen	0.62
#stranded	WRG	Wrangell Airport	0.62
